time,ID,Score,Velocity,Heading
0,1,5,0,0
0,2,5,0,0
0,3,5,0,0
0,4,5,0,0
0,5,5,0,0
0,6,5,0,0
0,7,5,0,0
1,1,10,0.0932577,159.711
1,2,10,0.055634,159.862
1,3,10,0.0963028,160.011
1,4,10,0.0428596,159.901
1,5,10,0.0666855,159.521
1,6,0,0,0
1,7,0,0,0
1,13,5,0,0
2,1,15,0.148863,159.455
2,2,15,0.133637,160.023
2,3,15,0.152715,160.101
2,4,15,0.121535,159.868
2,5,15,0.129569,159.428
2,7,-5,0,0
3,1,20,0.176169,-0.100045
3,2,20,0.214969,0.491254
3,3,20,0.199768,0.214749
3,4,20,0.191095,0.138958
3,5,20,0.180361,-0.109711
3,25,5,0,0
4,1,25,0.251243,0.129316
4,2,25,0.270058,0.575156
4,3,25,0.270911,-0.0689638
4,4,25,0.277984,-0.0845254
4,5,25,0.271167,-0.199326
4,25,10,0.0628623,159.518
5,1,30,0.307174,0.12791
5,2,30,0.36195,0.347204
5,3,30,0.342608,-0.290435
5,4,30,0.324954,-0.184102
5,5,30,0.32635,0.0294121
5,25,15,0.102103,159.622
6,1,35,0.378857,0.425469
6,2,35,0.381621,0.280557
6,3,35,0.374713,-0.0154342
6,4,35,0.411687,-0.250399
6,5,35,0.398541,0.0463279
6,25,20,0.143905,0.124036
7,1,40,0.464517,0.676322
7,2,40,0.413358,0.49678
7,3,40,0.402257,0.225966
7,4,40,0.445466,0.0393076
7,5,40,0.452643,-0.120525
7,25,25,0.214797,0.317847
8,1,35,0.464517,0.676322
8,2,45,0.50465,0.56261
8,3,45,0.518287,-0.0510391
8,4,45,0.479818,-0.0157176
8,5,45,0.543372,0.0907398
8,25,30,0.247609,0.52402
9,2,50,0.595232,0.505434
9,3,50,0.556727,-0.200194
9,4,50,0.512462,-0.0316253
9,5,50,0.616245,-0.0499237
9,25,35,0.275078,0.757656
10,2,55,0.668213,0.496058
10,3,55,0.634264,-0.406736
10,4,55,0.614787,-0.260252
10,5,55,0.677609,-0.0131043
10,25,40,0.468329,0.946146
10,65,5,0,0
