time,id,score,status,classification,xpos,ypos,age,est_velocity,est_heading,tlx,tly,brx,bry
0,0,5,0,1,-10.00049,-2.90653,0.00000,0.00000,0.00000,-16.88658,-6.67606,-3.11440,0.86300
0.00000,1,5,0,1,-1.72284,8.99715,0.00000,0.00000,0.00000,-3.57869,3.98765,0.13302,14.00666
0.00000,2,5,0,1,0.33444,-8.78946,0.00000,0.00000,0.00000,-2.98632,-14.23073,3.65520,-3.34819
0.00000,3,5,0,1,-6.33167,3.11521,0.00000,0.00000,0.00000,-7.49938,1.67742,-5.16396,4.55300
0.00000,4,5,0,1,-5.43941,19.09288,0.00000,0.00000,0.00000,-6.09484,17.71084,-4.78397,20.47493
0.00000,5,5,0,1,-12.74313,-8.85572,0.00000,0.00000,0.00000,-14.75377,-10.64047,-10.73249,-7.07098
1.00000,0,10,0,1,-9.99316,-2.91768,1.00000,0.00133,-0.09891,-16.88308,-6.72909,-3.10324,0.89374
1.00000,1,10,0,1,-1.73302,9.08538,1.00000,0.00888,0.16857,-3.60264,4.00464,0.13661,14.16611
1.00000,2,10,0,1,0.29124,-8.79312,1.00000,0.00434,-0.30572,-2.99384,-14.21888,3.57632,-3.36736
1.00000,3,10,0,1,-6.16200,3.29311,1.00000,0.02458,0.08091,-7.55737,1.74007,-4.76662,4.84615
1.00000,4,10,0,1,-5.51085,19.01950,1.00000,0.01024,-0.23428,-6.12782,17.72670,-4.89388,20.31230
1.00000,5,10,0,1,-12.87661,-8.75847,1.00000,0.01652,0.25119,-14.96270,-10.54994,-10.79052,-6.96699
2.00000,0,15,0,1,-10.02003,-2.88555,2.00000,0.00552,0.12782,-16.88491,-6.67606,-3.15516,0.90497
2.00000,1,15,0,1,-1.74405,9.01102,2.00000,0.01640,-0.00324,-3.63549,3.98168,0.14740,14.04036
2.00000,2,15,0,1,0.36551,-8.79312,2.00000,0.01176,-0.30573,-2.89515,-14.21275,3.62617,-3.37349
2.00000,3,15,0,1,-6.39259,2.65095,2.00000,0.09281,-0.11065,-7.81316,1.72321,-4.97201,3.57869
2.00000,4,15,0,1,-5.45417,19.09288,2.00000,0.01951,-0.14297,-6.09919,17.71084,-4.80915,20.47493
2.00000,5,15,0,1,-12.85384,-8.75810,2.00000,0.01879,0.25282,-14.93050,-10.51525,-10.77717,-7.00095
3.00000,0,20,1,1,-10.01715,-2.82963,3.00000,0.01112,0.27974,-16.88658,-6.70261,-3.14771,1.04335
3.00000,1,20,1,1,-1.63528,9.09674,3.00000,0.03025,0.06350,-3.56170,4.03455,0.29115,14.15892
3.00000,2,20,1,1,0.30895,-8.91878,3.00000,0.02554,-0.50510,-2.94379,-14.25283,3.56169,-3.58473
3.00000,3,20,1,1,-6.26793,3.32080,3.00000,0.16095,0.02803,-7.97947,1.89400,-4.55640,4.74760
3.00000,4,20,1,1,-5.33051,19.12839,3.00000,0.03238,-0.11501,-5.90222,17.83300,-4.75879,20.42377
3.00000,5,20,1,1,-12.79158,-8.82658,3.00000,0.02805,0.16952,-14.85066,-10.65222,-10.73249,-7.00095
4.00000,0,25,1,1,-10.03990,-2.83435,4.00000,0.01344,-0.01396,-16.88809,-6.69520,-3.19170,1.02649
4.00000,1,25,1,1,-1.70353,9.09919,4.00000,0.03708,0.37406,-3.70899,4.03227,0.30193,14.16611
4.00000,2,25,1,1,0.28288,-8.85162,4.00000,0.03275,-0.31099,-2.93554,-14.21275,3.50130,-3.49049
4.00000,3,25,1,1,-6.37775,3.22220,4.00000,0.17571,-0.21296,-8.14627,1.72714,-4.60923,4.71727
4.00000,4,25,1,1,-5.34549,19.10865,4.00000,0.03486,-0.33704,-5.93715,17.74238,-4.75384,20.47493
4.00000,5,25,1,1,-12.82653,-8.79000,4.00000,0.03311,0.40286,-14.89817,-10.56100,-10.75488,-7.01899
5.00000,0,30,1,1,-9.99775,-2.80814,5.00000,0.01841,0.04169,-16.88110,-6.65493,-3.11440,1.03866
5.00000,1,30,1,1,-1.67401,9.08123,5.00000,0.04053,0.31941,-3.60264,3.97557,0.25463,14.18690
5.00000,2,30,1,1,0.36785,-8.86347,5.00000,0.04133,-0.32485,-2.91615,-14.23646,3.65186,-3.49049
5.00000,3,30,1,1,-6.35418,3.09401,5.00000,0.18874,-0.35186,-8.12432,1.75692,-4.58404,4.43109
5.00000,4,30,1,1,-5.31443,19.09170,5.00000,0.03840,-0.38700,-5.87502,17.74238,-4.75384,20.44102
5.00000,5,30,1,1,-12.87598,-8.80157,5.00000,0.03819,0.11169,-14.93050,-10.54994,-10.82145,-7.05319
6.00000,0,35,1,1,-10.00887,-2.83754,6.00000,0.02155,-0.15153,-16.88110,-6.69520,-3.13664,1.02012
6.00000,1,35,1,1,-1.69747,9.04606,6.00000,0.04476,0.10351,-3.64358,4.03680,0.24863,14.05532
6.00000,2,35,1,1,0.30257,-8.50115,6.00000,0.07814,-0.14994,-2.94622,-13.66074,3.55135,-3.34155
6.00000,3,35,1,1,-6.36516,3.12958,6.00000,0.19246,-0.16486,-8.14627,1.74368,-4.58404,4.51548
6.00000,4,35,1,1,-5.30035,19.10914,6.00000,0.04064,-0.29781,-5.90222,17.72670,-4.69849,20.49159
6.00000,5,35,1,1,-12.61135,-8.71224,6.00000,0.06612,0.14424,-14.48261,-10.44214,-10.74008,-6.98233
7.00000,0,40,1,1,-10.02817,-2.83435,7.00000,0.02351,0.14627,-16.88658,-6.69520,-3.16976,1.02649
7.00000,1,40,1,1,-1.68943,9.32898,7.00000,0.07306,0.25774,-3.60264,4.01000,0.22378,14.64795
7.00000,2,40,1,1,0.34936,-8.71654,7.00000,0.10019,-0.28563,-2.95314,-14.03712,3.65186,-3.39597
7.00000,3,40,1,1,-6.09605,3.09349,7.00000,0.21962,-0.17819,-7.59894,1.71362,-4.59317,4.47337
7.00000,4,40,1,1,-5.34682,19.10914,7.00000,0.04528,0.01635,-5.90966,17.72670,-4.78397,20.49159
7.00000,5,40,1,1,-12.63850,-8.72681,7.00000,0.06920,-0.12067,-14.49983,-10.47128,-10.77717,-6.98233
8.00000,0,45,1,1,-10.04846,-2.83197,8.00000,0.02555,0.44875,-16.98251,-6.70261,-3.11440,1.03866
8.00000,1,45,1,1,-1.61855,9.39505,8.00000,0.08275,0.33277,-3.50729,3.97245,0.27019,14.81765
8.00000,2,45,1,1,0.29127,-8.84163,8.00000,0.11398,-0.48618,-2.94379,-14.24205,3.52634,-3.44120
8.00000,3,45,1,1,-6.06735,3.16100,8.00000,0.22695,-0.06132,-7.57830,1.74368,-4.55640,4.57832
8.00000,4,45,1,1,-5.33307,19.07013,8.00000,0.04942,-0.10687,-5.88217,17.72670,-4.78397,20.41356
8.00000,5,45,1,1,-12.62937,-8.77909,8.00000,0.07451,-0.26047,-14.46822,-10.45579,-10.79052,-7.10240
9.00000,0,50,1,1,-10.02087,-2.86192,9.00000,0.02962,0.36611,-16.88658,-6.72909,-3.15516,1.00526
9.00000,1,50,1,1,-1.64509,9.43704,9.00000,0.08772,0.54622,-3.53282,4.00464,0.24264,14.86945
9.00000,2,50,1,1,0.34512,-8.92138,9.00000,0.12360,-0.58388,-2.88609,-14.25802,3.57632,-3.58473
9.00000,3,50,1,1,-6.05689,3.13316,9.00000,0.22993,-0.18245,-7.55737,1.72986,-4.55640,4.53647
9.00000,4,50,1,1,-5.30198,19.09946,9.00000,0.05370,-0.03123,-5.87502,17.75791,-4.72895,20.44102
9.00000,5,50,1,1,-12.68099,-8.75306,9.00000,0.08029,0.00697,-14.56262,-10.47128,-10.79936,-7.03483
10.00000,0,55,1,1,-10.00049,-2.86202,10.00000,0.03166,0.36563,-16.88658,-6.72909,-3.11440,1.00506
10.00000,1,55,1,1,-1.70905,9.38188,10.00000,0.09617,0.30323,-3.60264,4.03455,0.18454,14.72920
